,T2-15,W2,Kc,T_max,T_min,RH_min,RH_max,Rn,U2,P,Ri_f
265,30.0,0,0.55,27.6,23.4,67.0,93.0,0.734276692,7.425,99.85333333,20.9
266,38.0,0,0.55,30.6,24.4,63.0,85.0,1.335495615,11.76,99.81541667,0.0
267,40.0,0,0.55,31.5,22.9,65.0,93.0,1.043801692,4.965,99.88041667,5.8
268,30.0,0,0.55,29.7,23.7,71.0,93.0,0.846476692,6.72,99.89041667,9.8
269,50.0,0,0.55,31.7,24.8,58.0,89.0,1.600451923,11.46,99.825,0.0
270,42.0,0,0.55,30.1,23.3,69.0,92.0,0.805418154,7.575,99.91666667,2.8
271,36.0,0,0.55,30.2,23.8,68.0,90.0,1.087498923,8.19,99.97666667,10.5
276,46.0,0,0.55,29.3,23.6,68.0,94.0,0.915181308,9.09,99.96875,12.2
279,58.0,0,0.55,32.9,24.3,56.0,87.0,1.500778846,9.615,99.90125,0.0
280,38.0,0,0.55,29.6,23.7,74.0,93.0,0.8919097690000001,6.33,99.87583333,27.5
281,38.0,0,0.55,32.0,23.5,61.0,93.0,1.090804385,6.51,99.97833333,12.2
282,34.0,0,0.55,31.2,22.7,61.0,91.0,1.160777538,11.37,99.87625,13.3
283,42.0,0,0.55,31.5,25.0,57.0,90.0,1.484497462,12.3,99.895,9.9
285,58.0,0,0.55,32.3,25.0,53.0,81.0,1.9147718459999998,13.55478261,99.98458333,0.0
286,60.0,0,0.55,32.3,25.6,52.0,83.0,1.866293692,11.76,99.89625,0.0
287,40.0,0,0.55,29.6,25.2,66.0,88.0,1.181968308,12.66,99.85375,0.0
288,38.0,0,0.55,26.3,23.2,81.0,94.0,0.363605923,7.305,99.97416667,108.7
289,58.0,0,0.55,32.4,22.3,57.0,94.0,1.9014296919999998,6.886956522,99.92916667,0.0
290,66.0,0,0.55,30.9,23.1,65.0,94.0,0.9425244620000001,8.325,99.93791667,10.7
291,64.0,0,0.55,31.2,23.7,67.0,92.0,1.310112308,11.58,99.89208333,0.0
292,62.0,0,0.55,32.1,25.4,52.0,83.0,1.925738615,10.32,99.87416667,0.0
293,68.0,0,0.55,33.1,24.4,55.0,87.0,1.8812680769999999,8.265,99.8875,18.7
294,62.0,0,0.55,31.7,24.9,58.0,88.0,1.6352991540000001,10.62,99.92833333,0.0
295,51.0,0,0.55,32.2,24.7,58.0,90.0,1.279137846,8.745,99.87,0.0
296,46.5,0,0.55,32.2,24.7,54.0,90.0,1.580596615,10.575,99.92791667,0.0
298,60.0,0,0.55,31.7,24.4,54.0,91.0,1.7496200000000002,11.25,99.9175,0.0
299,56.0,0,0.55,31.9,25.6,52.0,83.0,1.5335486919999999,12.585,99.89375,0.0
300,51.0,0,0.55,30.7,25.6,65.0,87.0,1.401437615,11.445,99.96583333,0.0
301,40.0,0,0.55,31.9,25.7,60.0,86.0,1.7869151540000001,12.84,99.96208333,2.5
302,50.0,0,0.55,32.1,23.3,56.0,92.0,1.365997615,10.275,99.99416667,1.7
303,38.0,0,0.55,31.7,24.8,54.0,80.0,1.561410769,10.95,99.92708333,0.0
304,38.0,0,0.55,31.0,23.3,60.0,93.0,1.498727462,11.235,99.91875,32.0
305,34.0,0,0.55,31.6,24.1,59.0,92.0,1.684596385,11.52,99.93958333,19.0
306,30.0,0,0.55,30.0,24.2,68.0,93.0,0.839069385,9.975,99.83875,1.2
307,20.0,0,0.55,29.3,24.2,69.0,92.0,0.720442846,12.195,99.915,12.6
308,42.0,0,0.55,31.9,25.3,57.0,85.0,1.7461176919999999,13.35,99.89708333,11.6
309,40.0,0,0.55,32.1,25.8,58.0,83.0,1.6350057690000002,13.515,99.90458333,0.0
314,40.0,0,0.55,32.2,25.4,59.0,84.0,1.1387358459999999,13.335,99.96583333,5.0
315,30.0,0,0.55,32.4,26.1,57.0,83.0,1.427203154,14.745,99.84541667,0.0
316,40.0,0,0.55,33.1,25.8,43.0,77.0,1.777389923,16.815,99.95833333,0.0
327,42.0,0,0.55,31.8,25.3,47.0,78.0,1.738804231,12.96,99.95458333,0.0
328,42.0,0,0.55,31.9,25.0,46.0,80.0,1.6188420000000001,13.14,99.87541667,0.0
329,58.0,0,0.55,32.3,24.4,38.0,80.0,1.644469692,12.66,99.905,0.0
339,32.0,0,0.55,31.7,23.8,45.0,87.0,1.703215462,11.82,99.98166667,0.0
340,36.0,0,0.55,32.4,23.3,45.0,85.0,1.6743275380000002,8.745,99.99791667,0.0
379,100.0,0,0.55,35.6,24.9,32.0,77.0,1.8367213080000002,19.035,99.99166667,0.0
382,100.0,0,0.55,36.9,25.7,20.0,74.0,1.949630615,15.93,99.99541667,0.0
393,100.0,0,0.55,35.3,25.1,27.0,75.0,1.5007539230000002,19.71,99.9775,0.0
404,100.0,0,0.55,36.2,24.6,29.0,74.0,1.801325615,22.98,99.80916667,0.0
405,100.0,0,0.55,36.1,24.9,31.0,76.0,1.7745025380000001,19.02,99.90666667,0.0
406,100.0,0,0.55,36.3,24.7,29.0,76.0,1.899030615,19.905,99.95416667,0.0
409,100.0,0,0.55,36.0,25.5,31.0,75.0,1.453970231,16.08,99.96541667,0.0
410,100.0,0,0.55,36.2,25.3,27.0,75.0,1.926943923,19.02,99.9775,0.0
411,100.0,0,0.55,33.0,25.2,45.0,76.0,1.663278615,22.23,99.93875,0.0
412,100.0,0,0.55,36.4,24.8,29.0,74.0,1.934301769,22.92,99.87541667,0.0
418,100.0,0,0.55,37.2,25.3,26.0,74.0,2.1877925830000002,18.76,99.88722222,0.0
419,50.0,0,0.55,38.4,26.0,23.0,78.0,2.186468417,21.096,99.8595,0.0
420,48.0,0,0.55,37.1,26.3,32.0,74.0,1.9248186669999998,22.194000000000003,99.90299999999999,0.0
436,40.0,0,0.55,36.0,28.3,33.0,57.0,1.833755,23.55,99.86333333,0.0
437,50.0,0,0.55,35.9,25.8,35.0,77.0,1.818411231,21.555,99.75291667,0.0
438,40.0,0,0.55,35.3,25.6,35.0,78.0,1.648751308,20.19,99.77375,0.0
439,42.0,0,0.55,35.7,25.2,34.0,80.0,1.566908615,16.365,99.87166667,0.0
440,52.0,0,0.55,35.9,25.5,35.0,80.0,1.780292538,17.7,99.83833333,0.0
441,56.0,0,0.55,36.2,25.7,35.0,78.0,1.5858528459999999,20.235,99.82833333,0.0
442,38.0,0,0.55,33.7,25.3,38.0,79.0,1.054055538,19.8,99.90833333,0.0
443,52.0,0,0.55,34.4,25.5,35.0,76.0,1.274402538,20.085,99.98375,0.0
444,38.0,0,0.55,35.1,21.7,38.0,93.0,1.396799,14.355,99.98,0.0
445,40.0,0,0.55,34.7,25.5,39.0,81.0,1.161505923,16.725,99.97958333,0.0
446,38.0,0,0.55,31.7,24.8,47.0,81.0,1.0555943079999999,12.63,99.905,2.0
447,42.0,0,0.55,32.8,24.2,47.0,84.0,0.9774367690000001,17.88,99.92583333,0.0
448,36.0,0,0.55,29.1,23.4,69.0,88.0,0.7625872309999999,12.96,99.96833333,2.0
449,38.0,0,0.55,33.4,24.7,49.0,85.0,1.4065194619999999,14.16,99.81625,0.0
450,40.0,0,0.55,33.2,25.3,49.0,81.0,1.424470231,17.82,99.835,0.0
451,36.0,0,0.55,34.0,25.6,44.0,78.0,1.410630077,16.2,99.80875,1.4
452,58.0,0,0.55,34.0,25.4,41.0,83.0,1.5171600769999998,18.15,99.86208333,0.0
453,50.0,0,0.55,33.4,25.3,42.0,83.0,0.6836375,96.0,99.8675,0.0
454,48.0,0,0.55,35.2,23.5,36.0,87.0,0.818080833,97.08333333,99.89916667,0.0
457,40.0,0,0.55,34.2,25.0,39.0,81.0,1.104824167,107.41666670000001,99.97166667,0.0
461,43.0,0,0.55,36.6,25.7,30.0,79.0,1.02235625,108.125,99.9375,0.0
462,31.0,0,0.55,36.2,25.7,29.0,77.0,1.040848333,110.58333329999999,99.93875,0.0
463,44.0,0,0.55,36.7,25.5,28.0,75.0,1.4559333330000002,105.875,99.88916667,0.0
464,40.0,0,0.55,31.8,22.4,53.0,89.0,0.870715,110.75,99.96291667,18.3
466,38.0,0,0.55,35.5,26.0,35.0,80.0,0.78160375,106.75,99.75666667,3.2
467,36.0,0,0.55,29.9,25.0,64.0,86.0,0.5950808329999999,97.08333333,99.775,0.0
468,36.0,0,0.55,33.3,25.0,48.0,86.0,0.678552917,114.875,99.80125,0.0
469,22.0,0,0.55,30.1,23.4,61.0,91.0,0.441081667,104.625,99.82375,8.2
470,40.0,0,0.55,30.6,24.8,59.0,87.0,0.56649625,104.79166670000001,99.7,0.0
471,38.0,0,0.55,33.1,22.9,49.0,91.0,1.3709045830000002,114.25,99.665,0.0
472,40.0,0,0.55,33.8,24.9,42.0,84.0,1.168675417,109.375,99.6775,0.0
473,48.0,0,0.55,33.4,25.6,49.0,77.0,1.0626924999999998,112.83333329999999,99.70166667,0.0
474,34.0,0,0.55,30.1,23.4,68.0,91.0,0.65419125,94.5,99.71166667,6.6
475,31.0,0,0.55,28.8,23.3,72.0,93.0,0.585365833,105.125,99.80791667,14.8
476,58.0,0,0.55,29.5,24.3,72.0,91.0,0.550695833,92.66666667,99.83708333,0.0
477,38.0,0,0.55,30.6,24.2,66.0,90.0,0.776584167,95.16666667,99.86041667,0.0
478,40.0,0,0.55,31.2,24.8,62.0,90.0,1.002045,96.41666667,99.92416667,6.6
479,40.0,0,0.55,31.5,24.7,53.0,88.0,0.852149167,94.25,99.97875,0.0
482,46.0,0,0.55,31.6,22.8,61.0,93.0,1.060493333,112.25,99.83625,0.0
